name,ts,glat,glon,curv,epeak,fpeak,curv_unc
4FGL J0003.6+3059,189.403,-30.789,111.025,1.329,1.803,0.276,0.452
4FGL J0039.1+6257,853.259,0.119,121.531,0.974,1.685,8.874,0.178
4FGL J0048.6-6347,304.628,-53.378,303.472,0.810,1.871,0.163,0.236
4FGL J0052.1+6444,114.708,1.881,123.031,0.654,1.415,1.071,0.377
4FGL J0131.7-5346,146.025,-62.306,290.100,0.843,1.464,0.084,0.500
4FGL J0139.5-2228,200.617,-78.155,192.420,1.808,2.067,0.126,0.590
4FGL J0140.4+5114,56.475,-10.873,130.684,1.615,0.818,0.253,0.653
4FGL J0142.5+6650,83.393,4.501,127.960,1.580,0.353,1.357,0.563
4FGL J0204.7+6656,161.151,5.045,130.049,0.596,0.791,1.048,0.186
4FGL J0235.3+5650,395.908,-3.188,136.825,0.962,0.602,4.404,0.263
4FGL J0237.8+5238,847.300,-6.914,138.824,1.065,1.662,3.362,0.191
4FGL J0304.6+6554,71.232,6.471,135.975,1.690,2.669,0.153,0.540
4FGL J0318.8+2848,37.111,-23.922,157.999,2.000,1.291,0.118,
4FGL J0323.6+6142,60.175,3.962,139.948,0.227,0.100,33.124,0.233
4FGL J0330.7+5845,62.905,1.793,142.295,1.068,0.893,1.321,0.390
4FGL J0340.4+5302,1332.089,-1.846,146.813,1.496,0.225,421.254,0.158
4FGL J0359.3+3626,72.304,-12.615,159.962,1.290,0.808,0.376,0.557
4FGL J0414.7-4300,371.272,-46.231,247.897,1.954,0.841,0.530,0.350
4FGL J0423.0-0943,108.220,-37.314,204.177,0.867,2.040,0.103,0.373
4FGL J0426.5+5434,1319.748,3.827,150.872,1.044,0.493,49.943,0.127
4FGL J0435.5+3232,88.930,-9.999,168.165,0.702,2.779,0.156,0.331
4FGL J0436.9+2915,281.530,-11.946,170.892,0.373,0.804,1.177,0.188
4FGL J0442.8+3609,114.562,-6.528,166.396,0.670,0.100,31.084,0.262
4FGL J0447.2+2446,95.021,-13.049,175.909,1.793,1.407,0.729,0.693
4FGL J0532.6+3358,51.856,0.263,174.344,0.451,0.632,0.722,0.322
4FGL J0533.6+5945,389.757,14.170,152.280,1.181,0.776,1.844,0.228
4FGL J0543.9-0418,58.782,-17.179,208.941,0.329,0.963,0.384,0.248
4FGL J0545.7+6016,965.689,15.740,152.555,0.570,2.554,1.529,0.107
4FGL J0551.7+0446,121.741,-10.958,201.753,1.346,0.323,3.870,0.422
4FGL J0553.6+0100,50.573,-12.337,205.306,1.223,0.725,0.766,0.629
4FGL J0554.0-0839,54.474,-16.665,214.255,0.453,0.976,0.126,0.359
