4FGL-DR4,source_type,glat,glon,significance,r95,Ep,Fp,d,p_pulsar,diffuse
4FGL J0001.6+3503,unid-pulsar,-26.710,111.538,6.475,0.102,0.859,0.053,0.649,0.353,-0.248
4FGL J0002.1+6721,unk-pulsar,4.939,118.203,6.391,0.155,0.538,0.717,0.490,0.986,0.881
4FGL J0002.8+6217,psr,-0.051,117.320,35.793,0.034,0.869,23.180,0.771,0.996,0.710
4FGL J0003.6+3059,unid-pulsar,-30.772,111.004,14.015,0.081,1.897,0.263,1.275,0.985,-0.334
4FGL J0005.5+6634,unid-pulsar,4.110,118.389,4.592,0.183,0.355,1.678,0.809,0.957,0.862
4FGL J0005.6+6746,unid-pulsar,5.282,118.608,4.460,0.189,0.358,0.967,0.640,0.929,0.824
4FGL J0007.0+7303,psr,10.462,119.663,401.705,0.007,1.928,23705.986,0.559,0.965,0.304
4FGL J0023.4+0920,msp,-52.897,111.420,31.199,0.043,1.131,3.716,0.829,1.000,-0.218
4FGL J0024.0-7204,glc,-44.891,305.902,106.730,0.015,1.402,58.250,0.713,0.989,-0.426
4FGL J0030.4+0451,msp,-57.613,113.134,140.184,0.013,1.200,419.849,0.857,0.994,-0.595
4FGL J0031.0-2327,unid-pulsar,-84.106,70.318,10.294,0.111,1.948,0.070,1.102,0.919,-0.725
4FGL J0034.3-0534,msp,-68.073,111.504,66.414,0.022,0.773,21.909,0.505,0.994,-0.532
4FGL J0034.6+6438,unid-pulsar,1.826,121.134,9.882,0.069,0.508,0.917,0.296,0.749,0.877
4FGL J0039.1+6257,unid-pulsar,0.122,121.535,28.653,0.034,1.585,9.023,0.913,0.997,0.886
4FGL J0041.3+6052,bcu-pulsar,-1.970,121.707,12.913,0.140,0.382,7.598,1.193,0.950,0.550
4FGL J0043.2+4114,other-pulsar,-21.604,121.285,8.953,0.156,0.433,0.230,0.505,0.474,-0.218
4FGL J0048.6-6347,unid-pulsar,-53.334,303.443,18.787,0.054,1.809,0.217,0.664,0.981,-0.657
4FGL J0052.1+6444,unid-pulsar,1.870,123.010,9.470,0.093,0.587,1.107,0.439,0.985,0.855
4FGL J0059.7-7210,other-pulsar,-44.934,302.037,6.282,0.237,0.589,0.251,1.254,0.788,-0.392
4FGL J0101.1-6422,msp,-52.727,301.189,66.905,0.021,1.110,11.901,0.830,0.997,-0.631
4FGL J0102.8+4839,msp,-14.170,124.876,47.042,0.021,1.295,11.143,0.573,0.990,-0.041
4FGL J0102.9-7051,glc,-46.235,301.568,5.822,0.097,0.985,0.020,0.422,0.006,-0.467
4FGL J0106.4+4855,psr,-13.871,125.469,65.729,0.018,2.036,30.721,0.908,0.971,-0.024
4FGL J0116.8+6914,unid-pulsar,6.481,125.190,7.234,0.148,0.374,1.654,1.172,0.910,0.517
4FGL J0125.3+6820,unid-pulsar,5.676,126.063,7.068,0.107,0.286,1.388,0.625,0.472,0.574
