4FGL-DR4,glat,glon,significance,r95,variability,Ep,Fp,d,association,prediction,p_bll,p_fsrq,p_pulsar
4FGL J0000.3-7355,-42.730,307.709,8.493,0.052,12.835,1.072,0.020,0.220,unid,bll,0.947,0.051,0.002
4FGL J0000.5+0743,-53.029,101.656,5.681,0.153,25.569,0.447,0.041,0.219,unid,bll,0.826,0.166,0.008
4FGL J0000.7+2530,-35.959,108.775,4.197,0.083,13.149,8.886,0.007,0.502,unid,bll,0.922,0.072,0.006
4FGL J0001.6+3503,-26.710,111.538,6.475,0.102,11.199,0.859,0.053,0.649,unid,pulsar,0.198,0.343,0.459
4FGL J0003.3+2511,-36.411,109.382,8.634,0.102,23.774,0.879,0.109,0.667,unid,fsrq,0.318,0.595,0.088
4FGL J0003.6+3059,-30.772,111.004,14.015,0.081,7.740,1.897,0.263,1.275,unid,pulsar,0.004,0.016,0.980
4FGL J0004.0+5715,-5.023,116.526,9.074,0.085,13.592,0.210,0.601,0.265,unid,fsrq,0.320,0.645,0.035
4FGL J0004.4-4001,-73.845,336.991,11.001,0.136,38.814,0.151,0.074,0.091,unid,bll,0.830,0.166,0.004
4FGL J0005.5+6634,4.110,118.389,4.592,0.183,6.913,0.355,1.678,0.809,unid,pulsar,0.035,0.568,0.397
4FGL J0005.6+6746,5.282,118.608,4.460,0.189,9.137,0.358,0.967,0.640,unid,pulsar,0.014,0.557,0.429
4FGL J0006.3-1813,-76.319,71.150,4.288,0.082,13.524,0.100,0.014,0.076,unid,bll,0.892,0.096,0.012
4FGL J0006.6+4618,-15.870,114.920,6.020,0.065,11.483,7.705,0.021,0.778,unid,bll,0.925,0.072,0.003
4FGL J0007.4-0322,-64.025,97.161,5.484,0.089,12.367,9.408,0.019,1.032,unid,bll,0.881,0.108,0.011
4FGL J0008.4+6926,6.886,119.148,8.512,0.082,13.321,0.106,0.559,0.121,unid,fsrq,0.525,0.469,0.007
