name,delta,ts,r95,glat,glon,eflux100,nbb,class1,variability,nickname,pindex,curvature,e0,sin_b,uw_name,category
4FGL J0000.3-7355,1.7568492446547658e-02,71.91769124811981,0.047306872724156936,-42.73582741603842,307.73132805565837,9.873368348164499e-13,1,,12.834996223449707,P88Y0000,2.08395817,0.21718765139538965,2816.9848670665788,-0.6786190840346609,J0000.1-7354,unid
4FGL J0000.5+0743,0.06920519521719767,41.81302617653273,0.1426168177581509,-52.96863597805818,101.71134306141559,1.0591642429853845e-12,1,,25.568988800048828,504N-1514,1.0,0.38976123244585104,1468.9258875536025,-0.7983059535837987,J0000.5+0747,unid
4FGL J0001.2+4741,0.01870513188176127,44.4471948526334,0.05096120347566691,-14.332097319211936,114.26850021262551,1.2966688844504734e-12,4,bcu,28.915590286254883,P88Y0001,2.11424737,0.059840149481749094,2958.943838068265,-0.24754182032986338,J0001.3+4741,bcu
4FGL J0001.2-0747,0.0007963001901218854,702.0043524293578,0.023191667147875503,-67.30494106659356,89.03066862497538,6.9671475806770965e-12,2,bll,51.74238967895508,P88Y0002,2.07595441,0.03016629938563664,1989.839504122859,-0.9225713657449678,J0001.2-0747,bll
4FGL J0001.4-0010,0.01155065050973347,36.64558042061981,0.06303785060076153,-60.480714268452125,96.90122847365092,9.916332148325937e-13,9,bll,9.374194145202637,504H-0639,1.99658721,0.08049719395183397,3623.290189500836,-0.8701898971066189,J0001.4-0009,bll
4FGL J0001.5+2113,0.021420853065932288,3947.423695140402,0.02863601264824281,-40.156299077352905,107.67312314394273,2.2471449076915926e-11,43,fsrq,1861.6033935546875,P88Y0003,2.63434403,0.14843194057343467,392.9732489159406,-0.6448749337176161,J0001.5+2114,fsrq
4FGL J0001.6+3503,0.013973414154078021,69.92632854008116,0.07747608041071141,-26.724051910432237,111.54062275865284,1.4045645654286094e-12,1,,11.198676109313965,504N-1366,1.06447345,0.363395120898824,1449.610120608433,-0.44969398294915913,J0001.6+3502,unid
4FGL J0001.6-4156,0.027684125550887916,310.0583832777338,0.03002092848171724,-72.01940617776052,334.31103607324434,3.221130484002828e-12,1,bcu,25.60945701599121,P88Y0005,1.63476714,0.12869268465517947,4540.81717190583,-0.9511611263215454,J0001.5-4156,bcu
4FGL J0002.1-6728,0.016213780501965445,244.52756880712693,0.025924551137907478,-48.97563981779234,310.06861925396555,2.2563038896276933e-12,2,bll,10.370595932006836,P88Y0007,1.72730821,0.15033245242077053,4664.390368648598,-0.7544305784281695,J0002.2-6727,bll
4FGL J0002.1+6721,0.05145049141744422,100.09956386126578,0.10815921725107508,4.902301960203916,118.23918173473562,5.099815502460396e-12,7,unk,7.72054386138916,504P-0455,2.6382715,0.3700620975956692,1348.986671707162,0.08545695301897754,J0002.6+6719,other
