name,glon,glat,d,Fp,Ep,diffuse,pdf_young,pdf_MSP
4FGL J0005.5+6634,118.389,4.110,0.809,1.678,0.355,0.862,0.064,0.044
4FGL J0005.6+6746,118.630,5.207,0.640,0.967,0.358,0.837,0.033,0.059
4FGL J0034.6+6438,121.124,1.838,0.296,0.917,0.508,0.877,0.049,0.050
4FGL J0039.1+6257,121.531,0.119,0.913,9.023,1.585,0.886,0.455,0.103
4FGL J0052.1+6444,123.031,1.881,0.439,1.107,0.587,0.855,0.123,0.105
4FGL J0142.5+6650,127.960,4.501,0.897,1.132,0.402,0.821,0.063,0.034
4FGL J0204.7+6656,130.049,5.045,0.555,1.892,0.475,0.716,0.113,0.166
4FGL J0235.3+5650,136.825,-3.188,0.673,4.471,0.443,0.616,0.117,0.106
4FGL J0305.4+5945,139.086,1.112,1.044,2.983,0.313,0.880,0.019,0.016
4FGL J0328.0+6046,141.031,3.457,0.864,2.053,0.326,0.742,0.080,0.045
4FGL J0330.7+5845,142.295,1.793,0.785,5.002,0.326,1.039,0.095,0.063
4FGL J0340.4+5302,146.813,-1.846,1.318,694.404,0.202,0.830,0.000,0.000
4FGL J0341.9+3153,160.323,-18.199,0.468,0.757,0.811,0.901,0.117,0.195
4FGL J0409.7+4006,159.051,-8.487,0.591,1.723,0.311,0.774,0.039,0.072
4FGL J0412.5+6519,142.125,10.297,0.855,1.429,0.243,0.655,0.047,0.015
4FGL J0414.7-4300,247.897,-46.231,1.432,0.566,0.929,-0.694,0.010,0.011
4FGL J0431.0+3529,165.330,-8.758,1.012,0.724,0.478,0.709,0.061,0.023
4FGL J0435.5+3232,168.165,-9.999,0.734,0.207,3.117,0.431,0.000,0.040
4FGL J0441.8+2600,174.164,-13.174,0.940,2.462,0.402,0.603,0.128,0.048
4FGL J0447.2+2446,175.909,-13.049,0.888,0.997,0.967,0.707,0.196,0.215
4FGL J0512.8+5821,151.989,11.136,1.018,0.369,0.544,0.288,0.078,0.013
4FGL J0521.8+0843,194.513,-15.347,0.738,2.190,0.214,0.421,0.069,0.016
4FGL J0531.7+1241,192.236,-11.293,0.561,1.673,0.290,0.724,0.038,0.079
4FGL J0533.6+5945,152.280,14.170,1.012,1.557,0.817,0.304,0.207,0.094
4FGL J0538.9+3549,173.599,2.435,0.690,1.205,0.682,0.914,0.182,0.152
4FGL J0540.0+3501,174.202,2.195,0.547,1.107,0.413,0.780,0.065,0.132
4FGL J0540.7+3611,173.290,2.864,0.723,1.995,0.515,0.929,0.115,0.135
4FGL J0541.4-0754,212.106,-19.103,0.621,1.604,0.420,1.223,0.053,0.053
4FGL J0544.4+2238,185.270,-3.483,-0.100,347.388,0.100,0.619,0.001,0.000
4FGL J0549.0-0233,208.017,-15.025,0.781,0.418,0.468,0.458,0.048,0.061
4FGL J0551.7+0446,201.753,-10.958,1.017,3.924,0.296,0.572,0.062,0.011
4FGL J0553.6+0100,205.306,-12.337,0.776,0.491,0.432,0.500,0.045,0.048
4FGL J0555.1+0150,204.745,-11.680,0.812,1.563,0.563,0.646,0.134,0.107
4FGL J0601.0-1016,216.386,-15.826,0.875,1.059,0.504,0.554,0.099,0.046
4FGL J0609.0+2136,189.046,0.935,0.603,6.143,0.419,1.007,0.136,0.082
4FGL J0609.0+2006,190.267,0.063,0.938,6.519,0.399,0.917,0.116,0.086
4FGL J0610.9+2040,189.923,0.777,1.051,2.180,0.569,0.916,0.078,0.057
4FGL J0614.1+1628,194.070,-0.499,0.838,11.567,0.231,0.973,0.028,0.037
4FGL J0618.7+1211,198.347,-1.487,0.917,6.917,0.249,0.605,0.054,0.015
4FGL J0620.1+2246,189.240,3.693,0.121,1.024,0.972,0.747,0.002,0.047
4FGL J0622.7+2248,189.439,4.254,0.641,0.597,0.732,0.748,0.150,0.158
4FGL J0658.7-0407,217.426,-0.262,0.681,2.527,0.389,0.743,0.073,0.075
4FGL J0704.6-1055,224.123,-1.990,0.534,0.770,0.664,1.042,0.142,0.103
4FGL J0705.8-0004,214.605,3.167,0.684,0.589,0.706,0.448,0.160,0.272
4FGL J0715.7-1128,225.943,0.158,0.802,4.200,0.314,0.710,0.101,0.077
4FGL J0725.3-2550,239.719,-4.687,0.799,3.526,0.205,0.678,0.032,0.026
4FGL J0731.5-1910,234.520,-0.158,0.614,3.445,0.219,1.052,0.031,0.077
4FGL J0736.9-3231,246.789,-5.577,0.675,6.270,0.385,0.581,0.094,0.076
4FGL J0752.0-2931,245.760,-1.291,1.130,1.954,0.897,0.558,0.206,0.056
4FGL J0753.1-2624,243.237,0.532,0.754,0.618,0.434,0.651,0.045,0.057
4FGL J0811.0-5636,270.911,-12.365,1.112,0.046,2.433,0.334,0.000,0.022
4FGL J0821.5-1436,236.703,12.409,1.011,0.117,0.653,-0.298,0.005,0.041
4FGL J0828.4-4444,262.568,-3.516,0.838,3.300,2.005,0.943,0.126,0.173
4FGL J0830.1-5454,270.966,-9.082,0.858,0.397,0.473,0.384,0.053,0.027
4FGL J0837.8-4048,260.392,0.177,0.471,1.851,0.413,1.120,0.071,0.052
4FGL J0838.4-3952,259.689,0.935,0.817,9.591,0.240,0.975,0.039,0.054
4FGL J0840.5-4122,261.042,0.270,0.794,10.783,0.244,1.158,0.038,0.036
4FGL J0843.9-4224,262.248,-0.039,0.951,13.429,0.319,1.154,0.043,0.019
4FGL J0844.1-4330,263.154,-0.442,0.610,5.757,0.368,1.072,0.112,0.053
4FGL J0844.9-4117,261.470,1.017,0.691,1.574,0.662,0.883,0.202,0.168
4FGL J0847.8-4138,262.116,1.239,0.778,4.937,0.343,0.940,0.109,0.079
4FGL J0850.3-4448,264.901,-0.465,0.538,3.152,0.305,0.973,0.049,0.055
4FGL J0853.1-4407,264.635,0.469,0.828,2.881,0.475,0.979,0.117,0.079
4FGL J0853.2-4218,263.309,1.557,0.658,2.919,0.412,0.920,0.087,0.082
4FGL J0853.6-4306,264.002,1.059,0.967,15.691,0.421,1.020,0.145,0.057
4FGL J0854.8-4504,265.612,-0.032,0.718,40.118,1.525,0.888,0.414,0.098
4FGL J0857.0-4353,264.881,1.048,0.736,2.608,0.449,1.057,0.098,0.080
4FGL J0857.7-4256,264.299,1.790,0.368,6.398,0.301,0.968,0.070,0.031
4FGL J0858.4-4615,266.934,-0.367,0.715,3.371,0.389,1.001,0.095,0.060
4FGL J0859.2-4729,267.950,-1.045,0.329,25.294,0.275,0.899,0.063,0.023
4FGL J0859.3-4342,265.013,1.478,0.623,4.401,0.672,1.017,0.342,0.184
4FGL J0900.1-4402,265.449,1.359,0.969,6.489,0.697,1.088,0.242,0.044
4FGL J0900.5-4434,265.848,1.140,0.642,9.069,0.425,1.093,0.182,0.070
4FGL J0901.1-4456,266.196,0.915,0.558,3.769,0.944,1.085,0.327,0.167
4FGL J0901.3-4848,269.172,-1.624,0.620,1.592,0.496,1.137,0.087,0.101
4FGL J0902.8-4633,267.635,0.025,0.612,0.717,0.593,0.988,0.108,0.089
4FGL J0906.8-2122,248.901,17.137,1.302,4.542,0.416,-0.019,0.077,0.002
