4FGL-DR4,ts,r95,glat,glon,Fp,Ep,curvature,sgu,uw_name
4FGL J0003.6+3059,189.403,0.054,-30.789,111.025,0.276,1.803,2.000,False,J0003.7+3058
4FGL J0039.1+6257,853.259,0.028,0.119,121.531,8.874,1.685,1.149,False,J0039.1+6257
4FGL J0052.1+6444,114.708,0.076,1.881,123.031,1.071,1.415,1.483,False,J0052.3+6445
4FGL J0140.4+5114,56.475,0.115,-10.873,130.684,0.253,0.818,1.837,False,J0140.3+5115
4FGL J0142.5+6650,83.393,0.132,4.501,127.960,1.357,0.353,0.749,False,J0142.8+6652
4FGL J0235.3+5650,395.908,0.058,-3.188,136.825,4.404,0.602,0.863,False,J0235.4+5651
4FGL J0304.6+6554,71.232,0.049,6.471,135.975,0.153,2.669,1.306,False,J0304.7+6554
4FGL J0328.0+6046,34.462,0.278,3.457,141.031,0.536,0.534,1.104,False,J0328.6+6040
4FGL J0329.2+5750,46.201,0.284,1.164,142.700,11.115,0.100,0.479,,J0329.2+5750
4FGL J0330.7+5845,62.905,0.156,1.793,142.295,1.321,0.893,1.796,False,J0329.4+5835
4FGL J0359.3+3626,72.304,0.115,-12.615,159.962,0.376,0.808,1.440,False,J0359.1+3625
4FGL J0409.7+4006,65.665,0.135,-8.487,159.051,0.726,0.602,0.832,,J0409.9+4004
4FGL J0414.7-4300,371.272,0.050,-46.231,247.897,0.530,0.841,1.363,False,J0414.7-4300
4FGL J0426.5+5434,1319.748,0.039,3.827,150.872,49.943,0.493,0.992,False,J0426.5+5434
4FGL J0431.0+3529,72.065,0.138,-8.758,165.330,1.105,0.825,2.000,,J0431.0+3527
4FGL J0441.8+2600,75.305,0.112,-13.174,174.164,1.634,0.748,2.000,,J0442.0+2601
4FGL J0442.8+3609,114.562,0.094,-6.528,166.396,31.084,0.100,0.188,False,J0442.7+3609
4FGL J0447.2+2446,95.021,0.064,-13.049,175.909,0.729,1.407,1.460,False,J0447.2+2446
4FGL J0512.8+5821,87.001,0.126,11.136,151.989,0.597,0.761,2.000,False,J0512.6+5821
4FGL J0532.6+3358,51.856,0.166,0.263,174.344,0.722,0.632,1.071,False,J0532.5+3351
4FGL J0533.2+3024,39.997,0.142,-1.492,177.294,0.269,1.682,1.514,,J0533.1+3025
4FGL J0533.6+5945,389.757,0.042,14.170,152.280,1.844,0.776,1.006,False,J0533.7+5944
4FGL J0538.9+3549,88.838,0.088,2.435,173.599,1.152,1.304,1.269,,J0539.4+3539
4FGL J0540.7+3611,112.003,0.125,2.864,173.290,2.341,0.662,0.882,,J0540.4+3608
4FGL J0541.4-0754,39.683,0.109,-19.103,212.106,0.712,1.316,1.986,,J0541.5-0752
4FGL J0543.9-0418,58.782,0.111,-17.179,208.941,0.384,0.963,1.127,False,J0543.0-0419
4FGL J0549.0-0233,52.445,0.113,-15.025,208.017,0.315,1.004,1.036,False,J0549.0-0233
4FGL J0551.7+0446,121.741,0.109,-10.958,201.753,3.870,0.323,1.035,False,J0551.9+0444
4FGL J0553.6+0100,50.573,0.165,-12.337,205.306,0.766,0.725,1.954,False,J0553.6+0101
4FGL J0555.1+0150,87.720,0.083,-11.680,204.745,1.024,0.751,0.961,,J0554.9+0149
4FGL J0555.9+0030,49.865,0.149,-12.075,206.054,0.511,0.493,0.736,False,J0555.9+0030
4FGL J0558.2+0132,29.180,0.198,-11.122,205.412,0.240,0.959,1.600,,J0558.1+0130
4FGL J0601.0-1016,52.043,0.107,-15.826,216.386,0.333,1.021,1.343,,J0600.6-1008
4FGL J0609.0+2136,76.244,0.121,0.935,189.046,1.527,1.070,1.265,,J0609.2+2134
4FGL J0609.0+2006,87.067,0.171,0.063,190.267,4.543,0.601,1.638,False,J0608.5+2005
4FGL J0636.2-1057,29.656,0.106,-8.304,221.070,0.152,1.132,1.434,False,J0636.3-1058
4FGL J0705.8-0004,74.257,0.122,3.167,214.605,0.479,0.970,1.147,False,J0705.7-0002
4FGL J0712.0-6431,155.640,0.048,-22.193,275.425,0.161,1.916,1.255,False,J0711.9-6434
4FGL J0718.8-5004,118.676,0.063,-16.403,261.302,0.194,1.740,1.524,False,J0718.5-5004
4FGL J0722.7-2309,35.476,0.310,-3.884,237.144,0.489,0.721,1.072,,J0723.0-2316
4FGL J0731.5-1910,54.205,0.201,-0.158,234.520,1.089,0.690,0.959,,J0731.7-1911
4FGL J0736.9-3231,306.040,0.053,-5.577,246.789,6.492,0.339,0.644,False,J0736.9-3232
4FGL J0752.0-2931,153.179,0.094,-1.291,245.760,1.813,1.006,1.389,False,J0751.9-2930
4FGL J0753.1-2624,45.043,0.215,0.532,243.237,0.741,0.620,1.877,,J0753.1-2624
4FGL J0754.9-3953,214.898,0.035,-6.066,254.998,1.026,2.199,1.501,False,J0754.8-3952
4FGL J0821.5-1436,63.827,0.103,12.409,236.703,0.142,0.922,2.000,False,J0821.5-1437
4FGL J0830.1-5454,35.167,0.114,-9.082,270.966,0.115,1.302,1.662,,J0830.6-5450
4FGL J0837.8-4048,36.148,0.150,0.177,260.392,0.594,1.446,1.112,,J0837.8-4052
4FGL J0838.4-3952,56.552,0.198,0.935,259.689,2.129,0.355,0.869,False,J0838.8-3951
4FGL J0840.5-4122,45.742,0.203,0.270,261.042,1.977,0.732,1.360,,J0840.3-4119
4FGL J0840.6-3130,47.588,0.126,6.342,253.246,0.117,1.634,2.000,False,J0840.7-3127
4FGL J0843.9-4224,31.506,0.239,-0.039,262.248,1.089,0.606,0.874,,J0843.0-4228
4FGL J0844.1-4330,90.279,0.215,-0.442,263.154,4.212,1.001,1.692,True,J0844.3-4325
4FGL J0844.9-4117,153.904,0.124,1.017,261.470,21.296,0.144,0.420,True,J0844.9-4112
4FGL J0847.8-4138,52.704,0.116,1.239,262.116,1.022,0.685,0.916,True,J0847.9-4134
4FGL J0853.1-4407,77.025,0.130,0.469,264.635,2.222,0.951,1.344,True,J0853.4-4400
4FGL J0853.2-4218,78.445,0.105,1.557,263.309,2.606,0.505,0.799,,J0853.3-4217
4FGL J0853.6-4306,230.093,0.108,1.059,264.002,36.550,0.100,0.767,True,J0853.7-4308
4FGL J0857.0-4353,45.379,0.168,1.048,264.881,1.155,0.750,1.212,,J0856.7-4349
4FGL J0857.7-4256,93.875,0.115,1.790,264.299,2.304,1.027,1.344,,J0857.8-4253
4FGL J0858.4-4615,51.839,0.191,-0.367,266.934,3.117,0.333,0.614,,J0858.2-4617
4FGL J0859.3-4342,183.903,0.088,1.478,265.013,8.280,0.552,0.794,True,J0859.0-4338
4FGL J0859.8-4530,72.685,0.223,0.263,266.529,19.463,0.100,0.569,,J0859.5-4534
4FGL J0900.1-4402,154.590,0.091,1.359,265.449,4.565,0.805,1.067,,J0900.1-4402
4FGL J0900.5-4434,138.495,0.101,1.140,265.848,6.967,0.579,0.888,,J0900.7-4429
4FGL J0901.3-4848,34.303,0.161,-1.624,269.172,0.617,1.159,1.056,,J0901.3-4848
4FGL J0902.8-4633,44.099,0.126,0.025,267.635,0.744,1.092,1.154,True,J0902.6-4634
4FGL J0906.8-2122,407.296,0.071,17.137,248.901,4.445,0.339,1.025,False,J0906.7-2125
