4FGL-DR4,ts,r95,glat,glon,Fp,Ep,curvature,sgu,uw_name
4FGL J1616.6-5341,690.644,0.036,-2.165,-29.515,18.632,1.577,1.658,False,J1616.6-5340
4FGL J1717.5-5804,261.601,0.039,-11.510,-27.399,1.095,2.485,1.977,False,J1717.5-5804
4FGL J1711.0-3002,238.863,0.051,5.634,-5.081,3.688,1.351,1.421,False,J1711.1-3002
4FGL J1656.5-2733,220.634,0.050,9.684,-5.021,1.520,1.284,1.338,False,J1656.5-2734
4FGL J1748.8-3915,199.568,0.042,-5.867,-8.517,2.062,1.739,1.485,False,J1748.7-3914
4FGL J1742.5-2833,194.562,0.071,0.733,-0.028,25.802,1.678,1.859,True,J1742.7-2834
4FGL J1714.9-3324,156.991,0.062,3.019,-7.316,2.449,2.440,1.358,True,J1715.0-3322
4FGL J1748.3-2906,141.677,0.042,-0.596,0.177,15.039,2.511,1.330,True,J1748.3-2905
4FGL J1819.9-1530,140.222,0.067,-0.185,15.538,24.254,1.814,1.964,True,J1819.5-1531
4FGL J1721.3-5257,138.138,0.073,-9.137,-22.742,0.911,1.046,1.431,True,J1721.4-5256
4FGL J1913.4-1526,137.927,0.048,-11.755,21.442,0.466,2.064,1.729,False,J1913.4-1527
4FGL J1840.4-1139,136.480,0.068,-2.891,21.303,2.203,2.085,1.647,False,J1840.4-1139
4FGL J1803.8-2908,135.690,0.106,-3.542,1.944,4.722,0.798,1.843,True,J1804.0-2902
4FGL J1814.6-2537,133.119,0.095,-3.978,6.039,2.396,1.394,1.952,True,J1814.6-2540
4FGL J1619.3-5047,131.981,0.103,-0.158,-27.130,31.424,1.218,1.550,True,J1618.6-5034
4FGL J1834.2-0827c,130.468,0.083,-0.105,23.448,39.089,1.242,1.690,True,J1834.3-0828
4FGL J1801.1-2626,127.877,0.044,-1.711,3.885,2.654,3.528,1.957,False,J1801.1-2627
4FGL J1534.7-5842,119.424,0.062,-2.285,-37.237,1.157,2.799,1.947,False,J1534.5-5843
4FGL J1757.1-3554,114.769,0.067,-5.638,-4.767,1.026,1.567,1.623,True,J1757.1-3554
4FGL J1604.4-4927,112.531,0.075,2.175,-28.043,3.845,1.476,1.489,True,J1604.5-4929
4FGL J1808.2-1055,110.637,0.136,4.441,18.285,8.363,0.558,1.833,False,J1808.2-1053
4FGL J1729.4-2646,102.296,0.084,4.203,-0.133,1.906,1.946,1.465,True,J1729.2-2647
4FGL J1738.8-3241,101.135,0.090,-0.729,-3.993,9.546,1.176,1.497,True,J1738.6-3242
4FGL J1855.3-0740,99.427,0.175,-4.455,26.404,3.171,0.494,1.394,True,J1855.4-0750
4FGL J1722.6-3135,95.543,0.103,2.697,-4.872,2.435,1.975,1.886,True,J1722.8-3133
4FGL J1611.6-6013,91.846,0.054,-6.371,-34.543,0.278,1.735,1.359,True,J1611.3-6010
4FGL J1649.2-4513c,91.760,0.131,-0.196,-19.740,28.810,0.933,1.868,True,J1648.7-4510
4FGL J1731.9-2800,90.441,0.110,3.033,-0.822,1.792,2.232,1.757,True,J1731.9-2800
4FGL J1739.1-1059,89.199,0.073,10.586,14.653,1.207,0.884,1.331,False,J1739.2-1059
