name,glon,glat,ts,r95,d,Fp,Ep,source type
4FGL J0002.8+6217,117.325,-0.054,1400.081,0.029,0.771,23.180,0.869,young
4FGL J0003.6+3059,111.025,-30.789,189.403,0.054,1.275,0.263,1.897,UNID-PSR
4FGL J0005.5+6634,118.389,4.110,44.554,0.165,0.809,1.678,0.355,UNID-PSR
4FGL J0005.6+6746,118.630,5.207,31.646,0.110,0.640,0.967,0.358,UNID-PSR
4FGL J0007.0+7303,119.663,10.463,385259.767,0.008,0.559,23705.986,1.928,young
4FGL J0023.4+0920,111.384,-52.870,864.019,0.030,0.829,3.716,1.131,MSP
4FGL J0030.4+0451,113.131,-57.612,26115.682,0.012,0.857,419.849,1.200,MSP
4FGL J0031.0-2327,70.325,-84.133,102.428,0.069,1.102,0.070,1.948,UNID-PSR
4FGL J0034.3-0534,111.491,-68.071,4149.070,0.019,0.505,21.909,0.773,MSP
4FGL J0034.6+6438,121.124,1.838,114.045,0.064,0.296,0.917,0.508,UNID-PSR
4FGL J0039.1+6257,121.531,0.119,853.259,0.028,0.913,9.023,1.585,UNID-PSR
4FGL J0048.6-6347,303.472,-53.378,304.628,0.037,0.664,0.217,1.809,UNID-PSR
4FGL J0052.1+6444,123.031,1.881,114.708,0.076,0.439,1.107,0.587,UNID-PSR
4FGL J0101.1-6422,301.192,-52.718,4694.224,0.017,0.830,11.901,1.110,MSP
4FGL J0102.8+4839,124.886,-14.169,2446.102,0.017,0.573,11.143,1.295,MSP
4FGL J0106.4+4855,125.470,-13.865,4735.876,0.015,0.908,30.721,2.036,young
4FGL J0131.7-5346,290.100,-62.306,146.025,0.055,0.779,0.081,1.470,UNID-PSR
4FGL J0139.5-2228,192.420,-78.155,200.617,0.054,1.030,0.141,2.238,UNID-PSR
4FGL J0140.4+5114,130.684,-10.873,56.475,0.115,0.812,0.082,0.755,UNID-PSR
4FGL J0142.5+6650,127.960,4.501,83.393,0.132,0.897,1.132,0.402,UNID-PSR
4FGL J0204.7+6656,130.049,5.045,161.151,0.054,0.555,1.892,0.475,UNID-PSR
4FGL J0205.7+6449,130.721,3.081,6579.804,0.017,0.524,203.170,0.413,young
4FGL J0218.1+4232,139.513,-17.512,13917.739,0.013,0.364,157.121,0.416,MSP
4FGL J0235.3+5650,136.825,-3.188,395.908,0.058,0.673,4.471,0.443,UNID-PSR
4FGL J0237.8+5238,138.824,-6.914,847.300,0.025,0.968,3.265,1.612,UNID-PSR
4FGL J0239.1+6634,133.309,5.900,40.643,0.078,0.499,0.320,0.436,UNID-PSR
4FGL J0248.4+6021,136.902,0.721,2608.727,0.026,1.135,87.907,0.809,young
4FGL J0248.6+4230,144.901,-15.320,176.922,0.050,1.205,0.257,1.528,MSP
4FGL J0251.0+2605,153.877,-29.494,520.265,0.033,0.908,1.369,1.357,MSP
4FGL J0304.6+6554,135.975,6.471,71.232,0.049,1.041,0.160,2.238,UNID-PSR
4FGL J0305.4+5945,139.086,1.112,52.836,0.175,1.044,2.983,0.313,UNID-PSR
4FGL J0307.8+7443,131.705,14.219,4679.082,0.015,1.113,27.636,1.432,MSP
4FGL J0312.1-0921,191.484,-52.360,704.584,0.033,1.102,2.269,1.354,MSP
4FGL J0314.1+5033,144.826,-6.104,40.035,0.159,0.678,0.670,0.424,UNID-PSR
4FGL J0318.2+0254,178.456,-43.603,808.685,0.029,0.969,2.819,1.612,MSP
4FGL J0318.8+2848,157.999,-23.922,37.111,0.241,1.084,0.094,1.079,UNID-PSR
4FGL J0328.0+6046,141.031,3.457,34.462,0.278,0.864,2.053,0.326,UNID-PSR
4FGL J0330.1+5038,146.898,-4.700,145.813,0.069,0.514,1.016,0.592,MSP
4FGL J0330.7+5845,142.295,1.793,62.905,0.156,0.785,5.002,0.326,UNID-PSR
4FGL J0340.3+4130,153.787,-11.021,4288.184,0.014,0.842,27.950,2.499,MSP
4FGL J0340.4+5302,146.813,-1.846,1332.089,0.059,1.318,694.404,0.202,UNID-PSR
4FGL J0341.9+3153,160.323,-18.199,84.301,0.074,0.468,0.757,0.811,UNID-PSR
4FGL J0357.8+3204,162.761,-16.010,19452.208,0.013,1.321,618.699,0.797,young
4FGL J0359.3+3626,159.962,-12.615,72.304,0.115,0.990,0.971,0.431,UNID-PSR
4FGL J0409.7+4006,159.051,-8.487,65.665,0.135,0.591,1.723,0.311,UNID-PSR
4FGL J0412.5+6519,142.125,10.297,37.288,0.239,0.855,1.429,0.243,UNID-PSR
4FGL J0414.7-4300,247.897,-46.231,371.272,0.050,1.432,0.566,0.929,UNID-PSR
4FGL J0418.9+6636,141.523,11.547,1171.762,0.019,0.609,4.659,1.457,MSP
4FGL J0426.5+5434,150.872,3.827,1319.748,0.039,0.909,83.925,0.390,UNID-PSR
4FGL J0431.0+3529,165.330,-8.758,72.065,0.138,1.012,0.724,0.478,UNID-PSR
4FGL J0433.0+1327,183.113,-22.673,60.622,0.071,1.061,0.112,2.063,UNID-PSR
4FGL J0435.5+3232,168.165,-9.999,88.930,0.044,0.734,0.207,3.117,UNID-PSR
4FGL J0436.9+2915,170.892,-11.946,281.530,0.037,0.619,0.804,1.646,UNID-PSR
4FGL J0437.2-4715,253.401,-41.956,6658.197,0.020,0.959,30.257,0.618,MSP
4FGL J0441.8+2600,174.164,-13.174,75.305,0.112,0.940,2.462,0.402,UNID-PSR
4FGL J0447.2+2446,175.909,-13.049,95.021,0.064,0.888,0.997,0.967,UNID-PSR
4FGL J0506.1+5028,157.895,5.785,164.292,0.041,1.207,0.357,3.694,MSP
4FGL J0512.8+5821,151.989,11.136,87.001,0.126,1.018,0.369,0.544,UNID-PSR
4FGL J0514.6-4408,249.505,-35.388,848.050,0.043,1.292,2.934,0.542,young
4FGL J0521.8+0843,194.513,-15.347,26.551,0.340,0.738,2.190,0.214,UNID-PSR
4FGL J0531.7+1241,192.236,-11.293,87.468,0.093,0.561,1.673,0.290,UNID-PSR
4FGL J0533.6+5945,152.280,14.170,389.757,0.042,1.012,1.557,0.817,UNID-PSR
4FGL J0533.8+6800,144.778,18.190,1817.731,0.018,0.735,4.276,1.928,MSP
4FGL J0538.9+3549,173.599,2.435,88.838,0.088,0.690,1.205,0.682,UNID-PSR
4FGL J0540.0+3501,174.202,2.195,35.232,0.124,0.547,1.107,0.413,UNID-PSR
4FGL J0540.3-6920,279.704,-31.501,845.799,0.026,0.290,56.319,0.195,young
4FGL J0540.7+3611,173.290,2.864,112.003,0.125,0.723,1.995,0.515,UNID-PSR
4FGL J0541.4-0754,212.106,-19.103,39.683,0.109,0.621,1.604,0.420,UNID-PSR
4FGL J0544.4+2238,185.270,-3.483,48.681,0.076,-0.100,347.388,0.100,UNID-PSR
4FGL J0545.7+6016,152.555,15.740,965.689,0.020,0.533,1.654,2.554,UNID-PSR
4FGL J0546.5-1100,215.795,-19.297,56.355,0.179,0.827,1.517,0.278,UNID-PSR
4FGL J0549.0-0233,208.017,-15.025,52.445,0.113,0.781,0.418,0.468,UNID-PSR
4FGL J0551.7+0446,201.753,-10.958,121.741,0.109,1.017,3.924,0.296,UNID-PSR
4FGL J0553.6+0100,205.306,-12.337,50.573,0.165,0.776,0.491,0.432,UNID-PSR
4FGL J0554.1+3107,179.069,2.703,2512.039,0.026,1.018,37.035,1.005,young
4FGL J0555.1+0150,204.745,-11.680,87.720,0.083,0.812,1.563,0.563,UNID-PSR
4FGL J0558.1-2113,226.806,-20.861,109.034,0.054,0.605,0.121,1.476,UNID-PSR
4FGL J0558.2+0132,205.412,-11.122,29.180,0.198,0.647,0.318,0.474,UNID-PSR
