name,log_nbb,pindex,curvature,log_e0,abs_sin_b,log_eflux,category,ts,r95,glat,uw_name,ra,dec
4FGL J0000.3-7355,0.000000,2.083958,0.217188,3.449785,0.678619,-12.005535,bll,71.917691,0.047307,-42.735827,J0000.1-7354,0.047341,-73.911540
4FGL J0000.5+0743,0.000000,1.000000,0.389761,3.167000,0.798306,-11.975037,psr-like,41.813026,0.142617,-52.968636,J0000.5+0747,0.149029,7.795556
4FGL J0001.6+3503,0.000000,1.064473,0.363395,3.161251,0.449694,-11.852458,psr-like,69.926329,0.077476,-26.724052,J0001.6+3502,0.416089,35.044310
4FGL J0003.3+2511,0.477121,2.347659,0.156343,3.087088,0.594534,-11.625315,fsrq,118.723284,0.077351,-36.479387,J0003.2+2506,0.804778,25.115502
4FGL J0004.0+5715,0.000000,2.533380,0.109810,3.046546,0.088315,-11.302439,fsrq,131.898211,0.048763,-5.066650,J0003.9+5712,0.996434,57.212727
4FGL J0004.4-4001,0.778151,2.672230,-0.098587,2.786094,0.960466,-11.454555,fsrq,174.740300,0.054303,-73.835525,J0004.4-4002,1.113119,-40.034557
4FGL J0005.5+6634,0.301030,1.669640,0.404984,3.069927,0.071679,-11.388105,psr-like,44.554355,0.164596,4.110428,J0005.5+6634,1.395206,66.576813
4FGL J0005.6+6746,0.845098,2.467200,0.431142,3.356514,0.090761,-11.737565,fsrq,31.646437,0.109515,5.207400,J0006.0+6741,1.507292,67.699121
4FGL J0006.3-1813,0.000000,2.388721,-0.040531,3.071401,0.971568,-11.833763,bll,41.901542,0.080645,-76.304565,J0006.2-1813,1.564913,-18.220870
4FGL J0006.6+4618,0.000000,1.765629,0.726380,3.868867,0.273786,-12.128743,X,52.348976,0.046842,-15.889676,J0006.9+4617,1.746171,46.293925
4FGL J0008.4+6926,1.146128,2.472063,0.085873,3.333687,0.119789,-11.322661,fsrq,95.094726,0.045303,6.879903,J0008.3+6926,2.098216,69.434455
4FGL J0008.9+2509,0.000000,1.898330,0.186170,2.763500,0.598141,-11.855963,bll,31.195876,0.206456,-36.736862,J0008.6+2507,2.161829,25.127003
4FGL J0009.1-5012,0.000000,2.552267,0.108479,2.963352,0.910629,-11.633438,fsrq,102.169944,0.182952,-65.592464,J0010.1-5013,2.543508,-50.226550
4FGL J0009.2+1745,0.000000,2.238409,0.555133,3.144235,0.694230,-11.956589,X,58.254713,0.113833,-43.965854,J0009.4+1746,2.372028,17.767854
4FGL J0009.7-1418,0.000000,2.221759,0.061562,3.312011,0.960250,-11.832559,bll,61.918586,0.054373,-73.791133,J0009.2-1414,2.316176,-14.241928
4FGL J0009.9+2810,0.477121,2.667818,-0.090497,2.851383,0.556673,-11.628585,fsrq,61.480770,0.080841,-33.826049,J0010.1+2809,2.539920,28.165784
4FGL J0010.2-2431,0.301030,2.217755,0.069000,3.333921,0.985986,-12.064777,bll,26.871450,0.113622,-80.396414,J0010.2-2434,2.569342,-24.570954
4FGL J0011.5+4822,0.000000,2.692701,0.822360,2.851147,0.241257,-11.834277,X,43.344504,0.233268,-13.960715,J0011.5+4822,2.875648,48.381946
4FGL J0017.1-4605,0.477121,2.939982,0.022019,2.541857,0.938650,-11.651403,fsrq,71.881046,0.154622,-69.826118,J0017.0-4606,4.253919,-46.114603
4FGL J0017.4+6506,0.301030,2.069664,0.218300,3.857025,0.043252,-11.850863,bll,29.710600,0.076587,2.478958,J0017.2+6506,4.306554,65.111844
4FGL J0018.8+5112,0.000000,2.491424,0.090842,3.082831,0.196787,-11.743044,fsrq,35.081164,0.197235,-11.349130,J0018.9+5111,4.748478,51.196400
4FGL J0021.7+4533,0.477121,1.000000,0.580705,3.432227,0.292305,-12.188488,psr-like,35.574416,0.081655,-16.995978,J0021.7+4533,5.436470,45.562643
4FGL J0022.0-5921,0.301030,1.894477,0.130920,3.745244,0.842577,-12.085059,bll,48.351399,0.049013,-57.413204,J0021.2-5917,5.323119,-59.295019
4FGL J0023.2+8412,0.301030,2.127093,0.880697,3.272770,0.365732,-12.264984,X,31.058732,0.116604,21.452637,J0023.3+8417,5.844487,84.283540
4FGL J0023.6-4209,1.079181,2.435473,-0.091861,3.168702,0.960998,-11.827879,fsrq,35.422318,0.125351,-73.945199,J0023.6-4209,5.923714,-42.150307
4FGL J0024.1+2402,0.602060,1.829457,0.173607,3.644568,0.621297,-11.879951,bll,90.075426,0.045597,-38.410923,J0024.1+2402,6.031136,24.038015
4FGL J0024.1+7909,0.301030,1.858242,0.244325,3.901203,0.281415,-12.090637,bll,49.580938,0.038644,16.344662,J0024.1+7908,6.035327,79.145529
4FGL J0025.4-4838,0.477121,2.969815,-0.100045,2.592880,0.926614,-11.425279,fsrq,175.485598,0.061043,-67.913039,J0025.5-4838,6.386575,-48.636717
4FGL J0026.1-0732,0.301030,1.821664,0.025315,3.712805,0.936779,-11.752186,bll,93.491481,0.038539,-69.517527,J0026.2-0732,6.550810,-7.539305
4FGL J0027.0-1134,0.477121,1.704758,0.077579,3.974026,0.958432,-12.144781,bll,30.543795,0.056128,-73.421920,J0027.0-1134,6.754387,-11.573948
4FGL J0030.9-3618,0.000000,2.036430,-0.012679,3.488008,0.984476,-11.857468,bll,65.841602,0.044904,-79.891201,J0030.9-3615,7.744314,-36.256999
4FGL J0031.0-2327,0.301030,2.024986,0.569542,3.251570,0.994762,-11.956189,X,102.427728,0.069213,-84.132922,J0031.1-2328,7.779776,-23.474921
4FGL J0031.5-4025,0.903090,2.478058,0.218394,3.059958,0.970341,-11.944010,fsrq,37.994111,0.174534,-76.010806,J0031.4-4029,7.850994,-40.491168
4FGL J0031.5-5648,0.301030,1.793569,0.123902,3.621427,0.866878,-11.925286,bll,68.851100,0.071396,-60.097893,J0031.5-5649,7.879160,-56.818320
4FGL J0032.3-5539,1.041393,1.578068,-0.007501,4.323174,0.876796,-12.171860,bll,41.563600,0.045673,-61.258200,J0032.3-5539,8.083484,-55.661664
4FGL J0034.6+6438,0.000000,2.421642,0.141289,3.272924,0.032076,-11.241423,bll,114.045162,0.064030,1.838158,J0034.5+6439,8.636100,64.650593
4FGL J0035.2-1739,0.477121,1.784705,0.093580,3.764591,0.984202,-12.137053,bll,35.340763,0.050351,-79.801926,J0035.2-1738,8.818347,-17.636834
4FGL J0039.1+6257,0.000000,2.253670,0.574555,3.322525,0.002080,-11.015114,X,853.258590,0.028195,0.119176,J0039.1+6257,9.776199,62.957364
4FGL J0039.7+4203,0.000000,2.418843,-0.009958,3.173296,0.354351,-11.813040,bll,34.536832,0.083279,-20.753650,J0039.7+4203,9.945254,42.065736
4FGL J0040.2-2725,0.954243,2.177684,-0.014986,3.364977,0.999026,-11.880029,bll,55.170627,0.060684,-87.471038,J0040.1-2724,10.031667,-27.407341
4FGL J0040.7-7157,0.477121,1.985750,0.218506,3.498858,0.708782,-11.985886,bll,64.041064,0.056524,-45.135890,J0040.7-7158,10.197819,-71.968217
4FGL J0041.3-0048,0.778151,3.000000,0.171503,2.301030,0.895421,-11.437133,fsrq,107.167118,0.566392,-63.562575,J0041.3-0048,10.332228,-0.802434
4FGL J0045.9-2021,0.000000,2.035953,0.022504,3.420950,0.992780,-11.811485,bll,78.883021,0.052776,-83.110815,J0045.9-2021,11.488803,-20.354069
4FGL J0046.7-7048,0.301030,1.853403,0.082456,3.803412,0.721748,-12.118004,bll,33.740018,0.068538,-46.198981,J0046.6-7055,11.664336,-70.924032
4FGL J0046.9+0705,0.301030,2.169984,0.238982,3.288392,0.826724,-12.028154,bll,37.378745,0.078458,-55.763638,J0046.8+0705,11.712264,7.090077
4FGL J0048.6-6347,0.000000,2.004317,0.306535,3.275179,0.802589,-11.637471,bll,304.627834,0.036602,-53.378043,J0048.5-6344,12.130594,-63.747149
4FGL J0052.1+6444,0.000000,2.318936,0.741352,3.244216,0.032826,-11.469070,X,114.708290,0.076069,1.881123,J0052.3+6445,13.091261,64.752694
4FGL J0055.7+4507,1.000000,1.686464,0.488213,3.866504,0.305256,-12.250673,bll,31.818729,0.053763,-17.773589,J0055.6+4505,13.924020,45.091635
4FGL J0057.9+6326,0.477121,1.844470,0.109839,4.059721,0.009907,-11.592810,bll,107.417104,0.033475,0.567633,J0057.8+6325,14.472538,63.430343
4FGL J0058.3-4603,0.301030,1.888545,0.216840,3.591047,0.945380,-12.153376,bll,43.917645,0.068500,-70.975579,J0058.3-4606,14.579091,-46.103765
4FGL J0059.4-5654,1.204120,2.451460,0.185384,2.775365,0.867340,-11.047789,fsrq,1315.217691,0.035431,-60.151013,J0059.2-5656,14.820295,-56.944500
4FGL J0102.0-6240,0.000000,1.947073,0.203718,3.468015,0.813287,-12.055141,bll,62.305171,0.055144,-54.418317,J0101.7-6240,15.430243,-62.669420
4FGL J0102.3+1000,0.000000,1.805557,0.483336,3.643641,0.796313,-11.725714,psr-like,159.859667,0.034645,-52.779422,J0102.4+0959,15.610231,9.996560
4FGL J0104.6-0818,0.301030,3.000000,0.055424,2.491522,0.944838,-11.624942,fsrq,46.279100,0.291856,-70.880643,J0104.1-0814,16.039355,-8.247555
4FGL J0104.8-2215,0.698970,2.010663,0.605748,3.518602,0.994991,-12.312533,X,30.925961,0.091109,-84.262596,J0104.8-2215,16.202963,-22.260030
4FGL J0106.1+1131,0.301030,2.024789,0.288898,3.501269,0.778922,-11.956075,bll,70.780342,0.051811,-51.161937,J0106.1+1132,16.545942,11.544672
4FGL J0107.4+0459,0.477121,1.801603,0.102526,3.748139,0.845125,-11.985565,bll,44.581734,0.063727,-57.685327,J0107.3+0457,16.840038,4.956439
4FGL J0110.0-5246,0.301030,1.182576,0.312462,3.077952,0.899739,-11.923357,psr-like,70.137245,0.113064,-64.123829,J0109.8-5246,17.463494,-52.775406
4FGL J0110.6+0415,0.778151,1.822830,0.095086,3.859931,0.850600,-12.109422,bll,28.693732,0.058399,-58.276972,J0110.6+0415,17.663990,4.253311
4FGL J0112.0+3442,0.698970,2.041367,0.382197,3.469927,0.469092,-12.154715,bll,34.572764,0.065477,-27.975361,J0111.5+3442,17.882393,34.713968
4FGL J0112.5-0651,0.000000,2.589987,0.298433,2.718326,0.934178,-11.669009,fsrq,48.860003,0.283390,-69.095806,J0112.6-0650,18.164325,-6.840510
4FGL J0115.4-2917,0.477121,1.715750,0.269346,4.006562,0.995033,-12.057935,bll,63.248298,0.042683,-84.286960,J0115.4-2916,18.867905,-29.275843
4FGL J0117.9+1430,0.477121,2.720934,-0.006348,2.709946,0.742826,-11.444853,fsrq,117.755433,0.106780,-47.972705,J0117.6+1424,19.410732,14.415073
