name,glon,glat,ts,r95,diffuse,d,Fp,Ep,source type
4FGL J0000.3-7355,307.731,-42.736,71.918,0.047,-0.417,0.434,0.016,2.322,UNID-BLL
4FGL J0000.5+0743,101.711,-52.969,41.813,0.143,-0.392,0.780,0.036,1.428,UNID-BLL
4FGL J0001.6+3503,111.541,-26.724,69.926,0.077,-0.248,0.727,0.060,1.163,UNID-FSRQ
4FGL J0002.1+6721,118.239,4.902,100.100,0.108,0.881,0.740,1.439,0.569,unk-psr
4FGL J0002.8+6217,117.325,-0.054,1400.081,0.029,0.710,0.866,17.406,1.022,young
4FGL J0003.3+2511,109.330,-36.479,118.723,0.077,-0.400,0.313,0.138,0.402,UNID-BLL
4FGL J0003.6+3059,111.025,-30.789,189.403,0.054,-0.330,2.000,0.276,1.803,UNID-PSR
4FGL J0004.0+5715,116.515,-5.067,131.898,0.049,0.397,0.220,1.444,0.100,UNID-FSRQ
4FGL J0004.4-4001,336.980,-73.836,174.740,0.054,-0.752,-0.100,2.968,0.100,UNID-FSRQ
4FGL J0005.5+6634,118.389,4.110,44.554,0.165,0.862,0.810,0.713,0.479,UNID-PSR
4FGL J0005.6+6746,118.630,5.207,31.646,0.110,0.837,0.862,0.141,1.322,UNID-PSR
4FGL J0006.3-1813,71.143,-76.305,41.902,0.081,-0.682,-0.081,0.142,0.100,UNID-BLL
4FGL J0006.6+4618,114.972,-15.890,52.349,0.047,-0.123,1.453,0.032,8.688,UNID-BLL
4FGL J0007.0+7303,119.663,10.463,385259.767,0.008,0.304,0.300,20687.194,2.383,young
4FGL J0007.4-0322,97.121,-64.017,39.795,0.071,-0.484,2.000,0.027,8.387,UNID-BLL
4FGL J0008.4+6926,119.144,6.880,95.095,0.045,0.741,0.172,0.770,0.138,UNID-FSRQ
4FGL J0008.9+2509,110.827,-36.737,31.196,0.206,-0.445,0.372,0.110,0.100,UNID-FSRQ
4FGL J0009.1-5012,319.028,-65.592,102.170,0.183,-0.705,0.217,0.317,0.100,UNID-FSRQ
4FGL J0009.2+1745,108.996,-43.966,58.255,0.114,-0.464,1.110,0.059,1.125,UNID-FSRQ
4FGL J0009.7-1418,83.485,-73.791,61.919,0.054,-0.583,0.123,0.025,0.339,UNID-BLL
4FGL J0009.9+2810,111.973,-33.826,61.481,0.081,-0.376,-0.100,1.295,0.100,UNID-BLL
4FGL J0010.2-2431,46.080,-80.396,26.871,0.114,-0.716,0.138,0.007,0.445,UNID-BLL
4FGL J0011.5+4822,116.118,-13.961,43.345,0.233,-0.098,1.645,0.184,0.466,UNID-FSRQ
4FGL J0017.1-4605,320.436,-69.826,71.881,0.155,-0.744,0.044,1.818,0.100,UNID-BLL
4FGL J0017.4+6506,119.340,2.479,29.711,0.077,0.996,0.437,0.038,6.134,UNID-BLL
4FGL J0018.8+5112,117.758,-11.349,35.081,0.197,0.001,0.182,0.130,0.100,UNID-BLL
4FGL J0021.7+4533,117.505,-16.996,35.574,0.082,-0.202,1.161,0.018,2.982,UNID-BLL
4FGL J0022.0-5921,310.075,-57.413,48.351,0.049,-0.717,0.262,0.007,8.323,UNID-BLL
4FGL J0023.2+8412,122.183,21.453,31.059,0.117,-0.212,1.761,0.019,1.744,UNID-BLL
4FGL J0023.4+0920,111.384,-52.870,864.019,0.030,-0.218,0.766,2.280,1.563,MSP
4FGL J0023.6-4209,321.820,-73.945,35.422,0.125,-0.729,-0.100,0.295,0.100,UNID-BLL
4FGL J0024.0-7204,305.908,-44.893,12704.447,0.013,-0.426,0.661,53.028,1.319,glc
4FGL J0024.1+2402,114.967,-38.411,90.075,0.046,-0.465,0.347,0.027,7.210,UNID-BLL
4FGL J0024.1+7909,121.596,16.345,49.581,0.039,0.075,0.489,0.013,10.647,UNID-BLL
4FGL J0025.4-4838,314.359,-67.913,175.486,0.061,-0.718,-0.100,7.264,0.100,UNID-FSRQ
4FGL J0026.1-0732,104.794,-69.518,93.491,0.039,-0.529,0.051,0.039,174.901,UNID-BLL
4FGL J0027.0-1134,101.514,-73.422,30.544,0.056,-0.594,0.155,0.008,63.174,UNID-BLL
4FGL J0030.4+0451,113.131,-57.612,26115.682,0.012,-0.595,0.701,313.019,1.420,MSP
4FGL J0030.9-3618,327.112,-79.891,65.842,0.045,-0.756,-0.025,0.014,0.100,UNID-BLL
4FGL J0031.0-2327,70.325,-84.133,102.428,0.069,-0.725,1.139,0.060,1.746,UNID-FSRQ
4FGL J0031.5-4025,318.873,-76.011,37.994,0.175,-0.604,0.437,0.034,0.384,UNID-FSRQ
4FGL J0031.5-5648,308.401,-60.098,68.851,0.071,-0.664,0.248,0.017,9.622,UNID-BLL
4FGL J0032.3-5539,308.537,-61.258,41.564,0.046,-0.651,-0.015,0.244,1000.000,UNID-BLL
4FGL J0034.3-0534,111.491,-68.071,4149.070,0.019,-0.532,0.388,15.006,1.005,MSP
4FGL J0034.6+6438,121.124,1.838,114.045,0.064,0.877,0.283,0.951,0.421,UNID-BLL
4FGL J0035.2-1739,100.640,-79.802,35.341,0.050,-0.742,0.187,0.005,18.376,UNID-BLL
4FGL J0039.1+6257,121.531,0.119,853.259,0.028,0.886,1.149,8.874,1.685,UNID-PSR
4FGL J0039.7+4203,120.619,-20.754,34.537,0.083,-0.331,-0.020,0.153,0.100,UNID-BLL
4FGL J0040.2-2725,25.950,-87.471,55.171,0.061,-0.758,-0.030,0.033,0.100,UNID-BLL
4FGL J0040.7-7157,304.100,-45.136,64.041,0.057,-0.391,0.437,0.018,3.259,UNID-BLL
4FGL J0041.3-0048,117.249,-63.563,107.167,0.566,-0.631,0.343,15.125,0.100,UNID-FSRQ
4FGL J0042.3+3509,120.842,-27.674,30.714,0.073,-0.328,2.000,0.038,16.304,UNID-BLL
4FGL J0043.2+4114,121.303,-21.662,97.760,0.103,-0.218,1.283,0.191,0.825,gal-psr
4FGL J0045.9-2021,112.156,-83.111,78.883,0.053,-0.755,0.045,0.014,1.186,UNID-BLL
4FGL J0046.7-7048,303.496,-46.199,33.740,0.069,-0.420,0.165,0.005,15.472,UNID-BLL
4FGL J0046.9+0705,120.908,-55.764,37.379,0.078,-0.402,0.478,0.016,1.361,UNID-BLL
4FGL J0048.6-6347,303.472,-53.378,304.628,0.037,-0.657,0.613,0.163,1.871,UNID-PSR
4FGL J0052.1+6444,123.031,1.881,114.708,0.076,0.855,1.483,1.071,1.415,UNID-PSR
4FGL J0055.7+4507,123.721,-17.774,31.819,0.054,-0.123,0.976,0.011,10.138,UNID-BLL
4FGL J0057.9+6326,123.653,0.568,107.417,0.033,0.809,0.220,0.120,23.294,UNID-BLL
4FGL J0058.3-4603,299.272,-70.976,43.918,0.069,-0.718,0.434,0.007,5.043,UNID-BLL
4FGL J0059.4-5654,300.783,-60.151,1315.218,0.035,-0.617,0.371,5.755,0.176,UNID-FSRQ
4FGL J0059.7-7210,302.188,-44.856,93.860,0.132,-0.380,2.000,0.300,0.774,sfr-psr
4FGL J0101.1-6422,301.192,-52.718,4694.224,0.017,-0.631,0.652,10.242,1.308,MSP
4FGL J0102.0-6240,300.904,-54.418,62.305,0.055,-0.648,0.407,0.012,3.345,UNID-BLL
4FGL J0102.1+4458,124.871,-17.862,25.678,0.082,-0.107,2.000,0.017,5.733,UNID-BLL
4FGL J0102.3+1000,127.413,-52.779,159.860,0.035,-0.430,0.967,0.168,5.383,UNID-BLL
4FGL J0102.8+4839,124.886,-14.169,2446.102,0.017,-0.041,0.428,8.729,1.523,MSP
4FGL J0102.9-7051,301.488,-46.269,58.810,0.105,-0.467,1.482,0.035,1.769,glc
4FGL J0104.6-0818,132.581,-70.881,46.279,0.292,-0.423,0.111,2.420,0.100,UNID-FSRQ
4FGL J0104.8-2215,155.610,-84.263,30.926,0.091,-0.716,1.211,0.010,3.272,UNID-FSRQ
4FGL J0106.1+1131,128.697,-51.162,70.780,0.052,-0.414,0.578,0.028,3.038,UNID-BLL
4FGL J0106.4+4855,125.470,-13.865,4735.876,0.015,-0.024,0.694,27.528,2.237,young
4FGL J0107.4+0459,130.365,-57.685,44.582,0.064,-0.581,0.205,0.012,14.737,UNID-BLL
4FGL J0110.0-5246,296.544,-64.124,70.137,0.113,-0.687,0.625,0.038,0.983,UNID-BLL
4FGL J0110.6+0415,132.072,-58.277,28.694,0.058,-0.611,0.190,0.006,18.391,UNID-BLL
4FGL J0112.0+3442,127.606,-27.975,34.573,0.065,-0.392,0.764,0.013,2.795,UNID-BLL
4FGL J0112.5-0651,137.840,-69.096,48.860,0.283,-0.212,0.597,0.299,0.194,UNID-FSRQ
4FGL J0115.4-2917,236.410,-84.287,63.248,0.043,-0.685,0.539,0.019,17.209,UNID-BLL
4FGL J0117.9+1430,132.432,-47.973,117.755,0.107,-0.466,-0.013,3.110,0.100,UNID-FSRQ
4FGL J0118.3-6008,296.797,-56.692,173.304,0.042,-0.609,0.258,0.054,1.097,UNID-FSRQ
4FGL J0120.1+0505,136.110,-57.056,41.660,0.135,-0.532,0.081,0.695,0.100,UNID-BLL
4FGL J0120.2-7944,301.353,-37.294,26.435,0.050,-0.213,1.191,0.009,20.297,UNID-BLL
4FGL J0121.4-7216,299.731,-44.661,46.042,0.049,-0.405,0.103,0.005,12.262,UNID-BLL
4FGL J0121.5+7906,124.411,16.318,29.670,0.059,0.197,0.141,0.006,16.941,UNID-BLL
4FGL J0122.4+1034,135.239,-51.543,55.731,0.043,-0.324,0.346,0.018,11.707,UNID-BLL
4FGL J0122.4-1509,155.544,-76.024,38.930,0.087,-0.724,0.868,0.014,2.078,UNID-BLL
4FGL J0123.7-4129,280.212,-74.179,26.812,0.082,-0.689,0.844,0.005,5.110,UNID-BLL
4FGL J0124.0+3035,131.104,-31.739,92.184,0.135,-0.350,0.356,0.965,0.100,UNID-FSRQ
4FGL J0125.8-6348,296.658,-52.883,45.973,0.088,-0.619,0.078,0.098,0.100,UNID-BLL
4FGL J0125.9-6303,296.376,-53.607,49.185,0.072,-0.606,0.336,0.008,2.409,UNID-BLL
4FGL J0126.3-6746,297.942,-49.025,48.708,0.041,-0.557,0.580,0.011,19.161,UNID-BLL
4FGL J0126.8+2412,133.196,-37.949,63.104,0.119,-0.258,0.141,1.173,0.100,UNID-FSRQ
4FGL J0128.1+7542,125.286,12.948,38.244,0.155,0.316,0.623,0.094,0.529,UNID-FSRQ
4FGL J0128.4+2614,133.112,-35.906,120.405,0.140,-0.206,1.380,0.872,0.351,UNID-FSRQ
4FGL J0128.8-4626,284.571,-69.356,34.775,0.094,-0.713,0.057,0.012,0.100,UNID-BLL
4FGL J0129.0+6312,127.231,0.770,141.465,0.137,0.847,0.378,7.357,0.151,bcu-psr
4FGL J0131.7-5346,290.100,-62.306,146.025,0.055,-0.610,1.085,0.084,1.464,UNID-PSR
4FGL J0132.1-0956,153.974,-70.146,195.902,0.085,-0.566,0.012,7.196,0.100,UNID-FSRQ
4FGL J0132.9-4259,277.257,-71.994,25.036,0.116,-0.657,1.716,0.009,3.203,UNID-BLL
4FGL J0133.0+5931,128.179,-2.937,126.139,0.071,0.522,-0.056,8.348,0.100,UNID-FSRQ
4FGL J0133.7-3409,253.305,-78.530,26.861,0.065,-0.674,-0.080,0.212,1000.000,UNID-BLL
4FGL J0136.2-4708,282.157,-68.134,31.010,0.068,-0.702,0.641,0.005,7.957,UNID-BLL
4FGL J0136.4+6911,126.930,6.668,60.653,0.301,0.521,1.011,1.103,0.356,UNID-PSR
